verification_id,road_name,location_name,issue_type,priority,suggested_verification_method,notes
VQ-001,Thika Superhighway,Jomoko / Allsops / Pangani,conflicting_speed_limit,high,official_request,"Resolve 80 vs 110 km/h. Request NTSA section limits or confirm posted signs via street view / field visit."
VQ-002,Thika Superhighway,Safari Park 110 stretch,unclear_extent,high,street_view,"Confirm where the 110 km/h section starts/ends relative to Safari Park and the Thika Road exit."
VQ-003,Thika Superhighway,Jomoko turnoff,missing_coordinates,high,street_view,"Landmark anchor is approximate; pin actual turnoff and any camera gantry."
VQ-004,Southern Bypass,Virtual weighbridge (Ngong Rd side),missing_coordinates,high,field_visit,"Virtual weighbridge location uncertain; confirm coordinates and direction."
VQ-005,Northern Bypass,Gitaru / Wangige,unconfirmed_camera,medium,dashcam,"Mobile-camera area - capture multiple passes; mobile units have no fixed point."
VQ-006,Nairobi Expressway,Museum Hill to Westlands,unconfirmed_camera,medium,official_request,"Confirm camera presence/type with Moja Expressway operator; 80 km/h sign confirmed in reporting."
VQ-007,Mombasa Road,Nyayo to Sameer/GM and Cabanas/JKIA,unconfirmed_camera,medium,street_view,"Confirm exact monitored sub-sections and posted limits."
VQ-008,Waiyaki Way,Kangemi to Uthiru,conflicting_speed_limit,medium,street_view,"Resolve 60-80 km/h range by sub-section."
VQ-009,Lang'ata Road,Uhuru Gardens,unconfirmed_camera,low,crowdsourcing,"Single-source 50 km/h report; corroborate."
VQ-010,Western Bypass,Ruaka / Wangige,unconfirmed_camera,low,crowdsourcing,"Speed inferred from corridor class; confirm."
VQ-011,Redhill Link Road,Redhill Link,unclear_extent,low,field_visit,"Speed limit unknown, signed locally only; capture the local sign."
VQ-012,All corridors,All seeded camera points,missing_coordinates,high,official_request,"NTSA has not published exact camera locations. Submit an official data request; until then all points are landmark anchors, not camera coordinates."
VQ-013,School zones,Designated school zones,old_source,medium,official_request,"Confirm 30 km/h school-zone limit against a current gazetted rule / NTSA notice, not just media."
